ERCC.Expected,Subpool,Mix1Conc.Attomoles_ul,Mix2Conc.Attomoles_ul
ERCC-00130,4:01,30000,7500
ERCC-00004,4:01,7500,1875
ERCC-00136,4:01,1875,468.75
ERCC-00108,4:01,937.5,234.375
ERCC-00116,4:01,468.75,117.1875
ERCC-00092,4:01,234.375,58.59375
ERCC-00095,4:01,117.1875,29.296875
ERCC-00131,4:01,117.1875,29.296875
ERCC-00062,4:01,58.59375,14.6484375
ERCC-00019,4:01,29.296875,7.32421875
ERCC-00144,4:01,29.296875,7.32421875
ERCC-00170,4:01,14.6484375,3.66210938
ERCC-00154,4:01,7.32421875,1.83105469
ERCC-00085,4:01,7.32421875,1.83105469
ERCC-00028,4:01,3.66210938,0.91552734
ERCC-00033,4:01,1.83105469,0.45776367
ERCC-00134,4:01,1.83105469,0.45776367
ERCC-00147,4:01,0.91552734,0.22888184
ERCC-00097,4:01,0.45776367,0.11444092
ERCC-00156,4:01,0.45776367,0.11444092
ERCC-00123,4:01,0.22888184,0.05722046
ERCC-00017,4:01,0.11444092,0.02861023
ERCC-00083,4:01,0.02861023,0.00715256
ERCC-00096,1:01,15000,15000
ERCC-00171,1:01,3750,3750
ERCC-00009,1:01,937.5,937.5
ERCC-00042,1:01,468.75,468.75
ERCC-00060,1:01,234.375,234.375
ERCC-00035,1:01,117.1875,117.1875
ERCC-00025,1:01,58.59375,58.59375
ERCC-00051,1:01,58.59375,58.59375
ERCC-00053,1:01,29.296875,29.296875
ERCC-00148,1:01,14.6484375,14.6484375
ERCC-00126,1:01,14.6484375,14.6484375
ERCC-00034,1:01,7.32421875,7.32421875
ERCC-00150,1:01,3.66210938,3.66210938
ERCC-00067,1:01,3.66210938,3.66210938
ERCC-00031,1:01,1.83105469,1.83105469
ERCC-00109,1:01,0.91552734,0.91552734
ERCC-00073,1:01,0.91552734,0.91552734
ERCC-00158,1:01,0.45776367,0.45776367
ERCC-00104,1:01,0.22888184,0.22888184
ERCC-00142,1:01,0.22888184,0.22888184
ERCC-00138,1:01,0.11444092,0.11444092
ERCC-00117,1:01,0.05722046,0.05722046
ERCC-00075,1:01,0.01430512,0.01430512
ERCC-00074,01:01.5,15000,22500
ERCC-00113,01:01.5,3750,5625
ERCC-00145,01:01.5,937.5,1406.25
ERCC-00111,01:01.5,468.75,703.125
ERCC-00076,01:01.5,234.375,351.5625
ERCC-00044,01:01.5,117.1875,175.78125
ERCC-00162,01:01.5,58.59375,87.890625
ERCC-00071,01:01.5,58.59375,87.890625
ERCC-00084,01:01.5,29.296875,43.9453125
ERCC-00099,01:01.5,14.6484375,21.9726563
ERCC-00054,01:01.5,14.6484375,21.9726563
ERCC-00157,01:01.5,7.32421875,10.9863281
ERCC-00143,01:01.5,3.66210938,5.49316406
ERCC-00039,01:01.5,3.66210938,5.49316406
ERCC-00058,01:01.5,1.83105469,2.74658203
ERCC-00120,01:01.5,0.91552734,1.37329102
ERCC-00040,01:01.5,0.91552734,1.37329102
ERCC-00164,01:01.5,0.45776367,0.68664551
ERCC-00024,01:01.5,0.22888184,0.34332275
ERCC-00016,01:01.5,0.22888184,0.34332275
ERCC-00012,01:01.5,0.11444092,0.17166138
ERCC-00098,01:01.5,0.05722046,0.08583069
ERCC-00057,01:01.5,0.01430512,0.02145767
ERCC-00002,1:02,15000,30000
ERCC-00046,1:02,3750,7500
ERCC-00003,1:02,937.5,1875
ERCC-00043,1:02,468.75,937.5
ERCC-00022,1:02,234.375,468.75
ERCC-00112,1:02,117.1875,234.375
ERCC-00165,1:02,58.59375,117.1875
ERCC-00079,1:02,58.59375,117.1875
ERCC-00078,1:02,29.296875,58.59375
ERCC-00163,1:02,14.6484375,29.296875
ERCC-00059,1:02,14.6484375,29.296875
ERCC-00160,1:02,7.32421875,14.6484375
ERCC-00014,1:02,3.66210938,7.32421875
ERCC-00077,1:02,3.66210938,7.32421875
ERCC-00069,1:02,1.83105469,3.66210938
ERCC-00137,1:02,0.91552734,1.83105469
ERCC-00013,1:02,0.91552734,1.83105469
ERCC-00168,1:02,0.45776367,0.91552734
ERCC-00041,1:02,0.22888184,0.45776367
ERCC-00081,1:02,0.22888184,0.45776367
ERCC-00086,1:02,0.11444092,0.22888184
ERCC-00061,1:02,0.05722046,0.11444092
ERCC-00048,1:02,0.01430512,0.02861023
